,Label,Year,Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
0,NSW,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
1,NSW,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
2,NSW,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
3,NSW,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
4,NSW,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
5,NSW,2020,28533,46258,34008,66666,9225,40954,89262,109755,35051,2657,12950,50690,11282,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
6,NSW,2021,29366,49149,36151,63707,9585,43088,92266,114979,36921,2650,13774,54267,11869,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
7,NSW,2022,29668,51369,37308,63265,9954,45905,97001,120198,38998,2740,14582,58264,12563,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
8,NSW,2023,29551,51087,37125,66624,9991,47270,98186,122210,40252,2763,14839,61415,13035,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
9,NSW,2024,29613,51192,37508,71450,10078,49854,101312,125848,41309,2835,15212,65958,13317,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
10,VIC,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
11,VIC,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
12,VIC,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
13,VIC,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
14,VIC,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
15,VIC,2020,22466,40361,29271,61367,6507,30037,69115,82000,28349,1918,9602,39311,9571,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
16,VIC,2021,23071,43795,30752,59806,6795,31357,71321,85373,29918,1886,10020,42070,10000,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
17,VIC,2022,23174,49259,32719,72532,7080,33211,75525,88912,36323,2219,11725,46658,11254,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
18,VIC,2023,23633,47125,31906,72918,7062,34273,76957,90909,35170,2118,11395,49972,11221,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
19,VIC,2024,23029,48208,32372,79105,6980,35763,79477,92404,36018,2162,11879,53942,11425,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
20,QLD,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
21,QLD,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
22,QLD,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
23,QLD,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
24,QLD,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
25,QLD,2020,13635,25738,17774,35374,3480,17581,53036,53927,19629,1222,6792,29297,5633,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
26,QLD,2021,14008,27446,18574,34571,3727,18604,54488,56791,20596,1198,7148,31738,6144,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
27,QLD,2022,14210,28891,19311,34450,3921,19621,57289,59850,21691,1226,7590,34754,6640,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
28,QLD,2023,14398,29354,19601,36272,3972,20292,57939,61513,23045,1272,7769,37418,6976,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
29,QLD,2024,14359,29403,19896,39062,4002,21218,59515,63276,23618,1269,7941,40596,7147,"Western Australia, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
30,SA,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
31,SA,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
32,SA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
33,SA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
34,SA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
35,SA,2020,5307,8510,6097,11076,980,6003,18164,14953,5855,361,1663,9872,1605,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
36,SA,2021,5349,8844,6415,11119,1040,6139,18605,15578,6141,356,1815,10459,1650,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
37,SA,2022,5498,9160,6683,11688,1097,6477,19269,16265,6623,385,2007,11209,1834,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
38,SA,2023,5604,9101,6692,12626,1103,6627,19584,16498,6989,374,2054,11934,1930,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
