search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
"Laura Johnson Home, Townview, QLD, 4825, Australia",-20.7290052,139.4932236,-20.7290552,-20.7289552,139.4931736,139.4932736,"Mount Isa Post Office, Isa Street, Mount Isa City, Mount Isa, Mount Isa City, Queensland, 4825, Australia",node,289547296,nominatim,ok,postcode
"Leppington, NSW, 2179, Australia",-33.9650028,150.8011028,-34.0043308,-33.9483242,150.7594078,150.8413822,"Leppington, Sydney, Camden Council, New South Wales, 2179, Australia",relation,5519705,nominatim,ok,exact
"Quakers Hillside Care Community, NSW, 2763, Australia",-33.7197167,150.8922198,-33.7197667,-33.7196667,150.8921698,150.8922698,"Quakers Hillside Care Community, Hambledon Rd, Hambledon Road, Quakers Hill, Sydney, Blacktown City Council, New South Wales, 2763, Australia",node,2918464324,nominatim,ok,exact
"Rest Nominees, VIC, 3008, Australia",-37.8175803,144.9699764,-37.8180667,-37.8170121,144.9696033,144.9703389,"Ian Potter Centre: NGV Australia, Russell Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia",way,22963243,nominatim,ok,postcode
"Retail First Mt Ommaney, QLD, 4074, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.078875,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
"Woolworths HCFDC Heathwood, QLD, 4110, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.078875,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
"Woolworths Kings Meadow 7210, TAS, 7249, Australia",-41.4817938,147.1526307,-41.4824449,-41.481275,147.1521726,147.1531907,"Tas Petroleum, 5, Dolerite Drive, Connector Park, Kings Meadows, Launceston, City of Launceston, Tasmania, 7249, Australia",way,1052155286,nominatim,ok,postcode
"CLAYTON CHURCH HOMES INC- ELIZABETH PARK, SA, 5113, Australia",-34.7123891,138.6852025,-34.7197018,-34.7039655,138.6729057,138.6995815,"Elizabeth Park, Adelaide, City of Playford, South Australia, 5113, Australia",relation,7385724,nominatim,ok,postcode
"Dalwood Children's Home, NSW, 2092, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
"Haighs Proprietary Limited - Salisbury South, SA, 5106, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
