Label,Year,Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.)
NSW,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2020,28533,46258,34008,66666,9225,40954,89262,109755,35051,2657,12950,50690,11282
NSW,2021,29366,49149,36151,63707,9585,43088,92266,114979,36921,2650,13774,54267,11869
NSW,2022,29668,51369,37308,63265,9954,45905,97001,120198,38998,2740,14582,58264,12563
NSW,2023,29551,51087,37125,66624,9991,47270,98186,122210,40252,2763,14839,61415,13035
NSW,2024,29613,51192,37508,71450,10078,49854,101312,125848,41309,2835,15212,65958,13317
VIC,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
VIC,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
VIC,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
VIC,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
VIC,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
VIC,2020,22466,40361,29271,61367,6507,30037,69115,82000,28349,1918,9602,39311,9571
VIC,2021,23071,43795,30752,59806,6795,31357,71321,85373,29918,1886,10020,42070,10000
VIC,2022,23174,49259,32719,72532,7080,33211,75525,88912,36323,2219,11725,46658,11254
VIC,2023,23633,47125,31906,72918,7062,34273,76957,90909,35170,2118,11395,49972,11221
VIC,2024,23029,48208,32372,79105,6980,35763,79477,92404,36018,2162,11879,53942,11425
QLD,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
QLD,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
QLD,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
QLD,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
QLD,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
QLD,2020,13635,25738,17774,35374,3480,17581,53036,53927,19629,1222,6792,29297,5633
QLD,2021,14008,27446,18574,34571,3727,18604,54488,56791,20596,1198,7148,31738,6144
QLD,2022,14210,28891,19311,34450,3921,19621,57289,59850,21691,1226,7590,34754,6640
QLD,2023,14398,29354,19601,36272,3972,20292,57939,61513,23045,1272,7769,37418,6976
QLD,2024,14359,29403,19896,39062,4002,21218,59515,63276,23618,1269,7941,40596,7147
SA,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,2020,5307,8510,6097,11076,980,6003,18164,14953,5855,361,1663,9872,1605
SA,2021,5349,8844,6415,11119,1040,6139,18605,15578,6141,356,1815,10459,1650
SA,2022,5498,9160,6683,11688,1097,6477,19269,16265,6623,385,2007,11209,1834
SA,2023,5604,9101,6692,12626,1103,6627,19584,16498,6989,374,2054,11934,1930
SA,2024,5747,9038,6845,13975,1130,6866,20204,16884,7237,389,2164,12903,1969
WA,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,2020,6982,12456,8783,20613,1600,10649,25338,28454,9084,616,2801,13836,2695
WA,2021,7151,12950,9107,20687,1618,10989,26223,29771,9517,608,2941,14803,2810
WA,2022,7216,13337,9476,20808,1694,11529,27213,31079,10083,615,3117,15955,3067
WA,2023,7276,13472,9663,22437,1741,11732,27614,31663,10671,636,3235,17148,3101
WA,2024,7248,13545,9820,25526,1793,12106,28409,32420,11181,645,3295,18447,3177
TAS,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
TAS,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
TAS,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
TAS,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
TAS,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
TAS,2020,1002,2614,2363,3026,263,1075,3944,3849,1396,99,464,2627,523
TAS,2021,1036,2677,2412,3012,276,1133,4004,4066,1500,103,493,2765,550
TAS,2022,1038,2740,2478,3163,285,1193,4175,4217,1626,105,541,2891,596
TAS,2023,999,2723,2490,3355,293,1205,4246,4337,1728,104,551,3145,626
TAS,2024,951,2654,2483,3455,297,1271,4279,4320,1762,108,556,3409,654
NT,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,2020,311,936,746,1325,105,419,1914,1459,738,65,203,849,212
NT,2021,331,926,777,1365,105,436,1922,1521,745,67,210,967,207
NT,2022,326,965,841,1429,113,451,1975,1637,825,68,232,1064,242
NT,2023,316,966,811,1490,115,473,1974,1678,891,77,244,1134,245
NT,2024,310,950,797,1585,115,504,1965,1714,914,86,275,1226,275
ACT,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
ACT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
ACT,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
ACT,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
ACT,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
ACT,2020,464,1468,1529,2414,391,1190,3141,5865,1415,129,644,2480,455
ACT,2021,473,1576,1657,2480,399,1237,3232,6328,1514,126,704,2652,458
ACT,2022,502,1698,1756,2674,411,1289,3469,6838,1697,127,714,2883,464
ACT,2023,537,1724,1864,2866,414,1351,3528,7126,1833,131,710,3028,492
ACT,2024,529,1757,1923,3289,424,1407,3547,7243,1950,131,730,3210,499
NSW,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,2020,22312,32030,22603,53618,7776,34593,68074,88817,27045,2084,9792,36437,8221
