Unnamed: 0,reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope1_emissions_tco2e,total_scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_mwh,grid_conencted,grid,fuel_source,year,notes,search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
0,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,567719.0,157700.0,19.0,293.0,312,0.0,On,NEM,Wind,2014,,"Gunning Wind Farm, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
1,ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,213115.0,59199.0,0.0,15.0,15,0.0,On,NEM,Solar,2014,,"Royalla Solar Farm, ACT, Australia",-35.4883502,149.0026942,-35.9205295,-35.124413,148.7627987,149.3992971,"Australian Capital Territory, Australia",relation,2354197,nominatim,ok,state
2,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2461803.0,683834.0,77.0,1144.0,1221,0.0,On,NEM,Wind,2014,,"Waubra Wind Farm, VIC, Australia",-37.3528575,143.6313265,-37.352906,-37.3527976,143.6312432,143.6313944,"Waubra Wind Farm Information, Sunraysia Highway, Lexton, Shire of Pyrenees, Victoria, 3352, Australia",way,203440016,nominatim,ok,exact
3,AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,137094.0,38082.0,5.0,17.0,22,0.0,On,NEM,Hydro,2014,,"Banimboola Hydro, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
4,AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,50275548.0,13965430.0,12253123.0,8306.0,12261429,0.88,On,NEM,Black Coal,2014,,"Bayswater Power Station, NSW, Australia",-32.3951272,150.949476,-32.3995382,-32.3907834,150.943391,150.9558083,"Bayswater Power Station, Muswellbrook, Muswellbrook Shire Council, New South Wales, 2333, Australia",way,171863884,nominatim,ok,exact
5,AGL ENERGY LIMITED,Bogong Power Station,F,VIC,266917.0,74144.0,83.0,839.0,922,0.0,On,NEM,Hydro,2014,,"Bogong Power Station, VIC, Australia",-36.8053642,147.2279689,-36.80557,-36.8051585,147.2276563,147.2282816,"Bogong Power Station, Lake Guy Walk, Bogong Village, Bogong, Alpine Shire, Victoria, 3699, Australia",way,202081250,nominatim,ok,exact
6,AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,27428.0,7619.0,1.0,97.0,98,0.0,On,NEM,Hydro,2014,,"Burrendong Hydro, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
7,AGL ENERGY LIMITED,Clover Hydro,F,VIC,151368.0,42047.0,3.0,51.0,54,0.0,On,NEM,Hydro,2014,,"Clover Hydro, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
8,AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,91666.0,25463.0,19260.0,86.0,19346,0.76,On,NEM,Gas,2014,,"Coopers Cogeneration, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
9,AGL ENERGY LIMITED,Copeton Hydro,F,NSW,139785.0,38829.0,1.0,75.0,76,0.0,On,NEM,Hydro,2014,,"Copeton Hydro, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
